   * Generated on 2025-Aug-16 17:06 CEST  .
%TABLE{columnwidths="5%,65%,5%,5%,5%,15%"}%
|*Group*|*Title*|*System*|*arXiv*|*Inspire*|*Journal*|*N*|
|CF|Flow dominance and factorization of transverse momentum correlations in Pb-Pb collisions at the LHC|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/1702.02665v2][1702.02665]]|[[https://inspirehep.net/literature/1512772][1512772]]|%GREEN%[[https://doi.org/10.1103/PhysRevLett.118.162302][Phys. Rev. Lett. 118]]%ENDCOLOR%|50|
|CF|Azimuthally differential pion femtoscopy in Pb-Pb collisions at $\sqrt{s_{\rm NN}}=2.76$ !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/1702.01612v2][1702.01612]]|[[https://inspirehep.net/literature/1512303][1512303]]|%GREEN%[[https://doi.org/10.1103/PhysRevLett.118.222301][Phys. Rev. Lett. 118]]%ENDCOLOR%|49|
|GA|Production of $π^0$ and $η$ mesons up to high transverse momentum in pp collisions at 2.76 !TeV|pp|[[http://arxiv.org/abs/1702.00917v2][1702.00917]]|[[https://inspirehep.net/literature/1512110][1512110]]|%GREEN%[[https://doi.org/10.1140/epjc/s10052-017-4890-x][Eur. Phys. J. C 77]]%ENDCOLOR%|48|
|JE|First measurement of jet mass in Pb-Pb and p-Pb collisions at the LHC|%BLUE%pPb%ENDCOLOR%|[[http://arxiv.org/abs/1702.00804v2][1702.00804]]|[[https://inspirehep.net/literature/1512107][1512107]]|%GREEN%[[https://doi.org/10.1016/j.physletb.2017.11.044][Phys. Lett. B 776]]%ENDCOLOR%|47|
|LF|K$^{*}(892)^{0}$ and $φ(1020)$ meson production at high transverse momentum in pp and Pb-Pb collisions at $\sqrt{s_\mathrm{NN}}$ = 2.76 !TeV|pp,%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/1702.00555v2][1702.00555]]|[[https://inspirehep.net/literature/1511864][1511864]]|%GREEN%[[https://doi.org/10.1103/PhysRevC.95.064606][Phys. Rev. C 95]]%ENDCOLOR%|46|
|HF|Measurement of the production of high-$p_{\rm T}$ electrons from heavy-flavour hadron decays in Pb-Pb collisions at $\sqrt{s_{\rm NN}}$ = 2.76 !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/1609.07104v2][1609.07104]]|[[https://inspirehep.net/literature/1487727][1487727]]|%GREEN%[[https://doi.org/10.1016/j.physletb.2017.05.060][Phys. Lett. B 771]]%ENDCOLOR%|45|
|GA|Jet-like correlations with neutral pion triggers in pp and central Pb-Pb collisions at 2.76 !TeV|pp,%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/1608.07201v2][1608.07201]]|[[https://inspirehep.net/literature/1483164][1483164]]|%GREEN%[[https://doi.org/10.1016/j.physletb.2016.10.048][Phys. Lett. B 763]]%ENDCOLOR%|44|
|LF|Enhanced production of multi-strange hadrons in high-multiplicity proton-proton collisions|pp|[[http://arxiv.org/abs/1606.07424v2][1606.07424]]|[[https://inspirehep.net/literature/1471838][1471838]]|%GREEN%[[https://doi.org/10.1038/nphys4111][Nature Phys. 13]]%ENDCOLOR%|43|
|HF|Elliptic flow of electrons from heavy-flavour hadron decays at mid-rapidity in Pb-Pb collisions at $\mathbf{\sqrt{s_\mathrm{NN}}}$ = 2.76 !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/1606.00321v2][1606.00321]]|[[https://inspirehep.net/literature/1466626][1466626]]|%GREEN%[[https://doi.org/10.1007/JHEP09(2016)028][JHEP 09]]%ENDCOLOR%|42|
|CF|Pseudorapidity dependence of the anisotropic flow of charged particles in Pb-Pb collisions at $\sqrt{s_{\rm NN}}=2.76$ !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/1605.02035v3][1605.02035]]|[[https://inspirehep.net/literature/1456145][1456145]]|%GREEN%[[https://doi.org/10.1016/j.physletb.2016.07.017][Phys. Lett. B 762]]%ENDCOLOR%|41|
