   * Generated on 2022-Mar-15 16:47 UTC  .
%TABLE{columnwidths="5%,65%,5%,5%,5%,15%"}%
|*Group*|*Title*|*System*|*arXiv*|*Inspire*|*Journal*|*N*|
|CF|Anisotropic flow of identified hadrons in Xe-Xe collisions at \(\sqrt{s_{\rm NN}}\) = 5.44!TeV|%PINK%XeXe%ENDCOLOR%|[[http://arxiv.org/abs/2107.10592v2][2107.10592]]|[[https://inspirehep.net/literature/1889989][1889989]]|%GREEN%[[https://doi.org/10.1007/JHEP10(2021)152][JHEP 10]]%ENDCOLOR%|337|
|LF|Production of K\(^{*}(892)^{0}\) and \(\\(\phi(1020)\)\) in pp and Pb-Pb collisions at \(\sqrt{s_{\rm NN}} = 5.02\) !TeV|pp,%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2106.13113v1][2106.13113]]|[[https://inspirehep.net/literature/1870141][1870141]]|%RED%Submitted%ENDCOLOR%|336|
|HF|Measurement of prompt D\(^{0}\), \(\Lambda_{c}^{+}\), and \(\Sigma_{c}^{0,++}\)(2455) production in pp collisions at \(\sqrt{s} = 13\) !TeV|pp|[[http://arxiv.org/abs/2106.08278v2][2106.08278]]|[[https://inspirehep.net/literature/1868463][1868463]]|%GREEN%[[https://doi.org/10.1103/PhysRevLett.128.012001][Phys. Rev. Lett. 128]]%ENDCOLOR%|335|
|JE|Direct observation of the dead-cone effect in QCD|pp|[[http://arxiv.org/abs/2106.05713v1][2106.05713]]|[[https://inspirehep.net/literature/1867966][1867966]]|%RED%Submitted%ENDCOLOR%|334|
|HF|Charm-quark fragmentation fractions and production cross section at midrapidity in pp collisions at the LHC|pp|[[http://arxiv.org/abs/2105.06335v2][2105.06335]]|[[https://inspirehep.net/literature/1863128][1863128]]|%GREEN%[[https://doi.org/10.1103/PhysRevD.105.L011103][Phys. Rev. D 105]]%ENDCOLOR%|333|
|LF|Measurement of K\(^{*}\)(892)\(^{\mathrm{\pm}}\) production in inelastic pp collisions at the LHC|pp|[[http://arxiv.org/abs/2105.05760v1][2105.05760]]|[[https://inspirehep.net/literature/1863048][1863048]]|%RED%Submitted%ENDCOLOR%|332|
|CF|Charged-particle multiplicity fluctuations in Pb-Pb collisions at \(\sqrt{s_{\rm NN}}\) = 2.76 !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2105.05745v1][2105.05745]]|[[https://inspirehep.net/literature/1863044][1863044]]|%GREEN%[[https://doi.org/10.1140/epjc/s10052-021-09784-4][Eur. Phys. J. C 81]]%ENDCOLOR%|331|
|CF|Kaon-proton strong interaction at low relative momentum via femtoscopy in Pb-Pb collisions at the LHC|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2105.05683v2][2105.05683]]|[[https://inspirehep.net/literature/1863041][1863041]]|%GREEN%[[https://doi.org/10.1016/j.physletb.2021.136708][Phys. Lett. B 822]]%ENDCOLOR%|330|
|HF|Measurement of the production cross section of prompt \(\Xi^0_{\rm c}\) baryons at midrapidity in pp collisions at \(\sqrt{s}\) = 5.02 !TeV|pp|[[http://arxiv.org/abs/2105.05616v2][2105.05616]]|[[https://inspirehep.net/literature/1863039][1863039]]|%GREEN%[[https://doi.org/10.1007/JHEP10(2021)159][JHEP 10]]%ENDCOLOR%|329|
|CF|Experimental evidence for an attractive p-\(\phi\) interaction|pp|[[http://arxiv.org/abs/2105.05578v2][2105.05578]]|[[https://inspirehep.net/literature/1863040][1863040]]|%GREEN%[[https://doi.org/10.1103/PhysRevLett.127.172301][Phys. Rev. Lett. 127]]%ENDCOLOR%|328|
|CF|Investigating the role of strangeness in baryon\(-\)antibaryon annihilation at the LHC|pp|[[http://arxiv.org/abs/2105.05190v1][2105.05190]]|[[https://inspirehep.net/literature/1862795][1862795]]|%RED%Submitted%ENDCOLOR%|327|
|HF|Measurement of the cross sections of \(\Xi^0_{\rm c}\) and \(\Xi^+_{\rm c}\) baryons and branching-fraction ratio BR(\(\Xi^0_{\rm c} \rightarrow \Xi^-{\rm e}^+ν_{\rm e}\))/BR(\(\Xi^0_{\rm c} \rightarrow \Xi^-\pi^+\)) in pp collisions at 13 !TeV|pp|[[http://arxiv.org/abs/2105.05187v1][2105.05187]]|[[https://inspirehep.net/literature/1862793][1862793]]|%GREEN%[[https://doi.org/10.1103/PhysRevLett.127.272001][Phys. Rev. Lett. 127]]%ENDCOLOR%|326|
|DQ|Inclusive, prompt and non-prompt \({\rm J}/\psi\) production at midrapidity in p\(-\)Pb collisions at \(\sqrt{s_{\rm NN}} = 5.02\) !TeV|%BLUE%pPb%ENDCOLOR%|[[http://arxiv.org/abs/2105.04957v1][2105.04957]]|[[https://inspirehep.net/literature/1862791][1862791]]|%RED%Submitted%ENDCOLOR%|325|
