   * Generated on 2026-Sep-24 16:27 CEST  .
%TABLE{columnwidths="5%,65%,5%,5%,5%,15%"}%
|*Group*|*Title*|*System*|*arXiv*|*Inspire*|*Journal*|*N*|
|CF|\(\Lambda\rm{K}\) femtoscopy in Pb-Pb collisions at \(\sqrt{s_{\rm{NN}}}\) = 2.76 !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2005.11124v2][2005.11124]]|[[https://inspirehep.net/literature/1797451][1797451]]|%GREEN%[[https://doi.org/10.1103/PhysRevC.103.055201][Phys. Rev. C 103]]%ENDCOLOR%|75|
|LF|\(\rm{K}^{*}(\rm{892})^{0}\) and \(\\(\phi(1020)\)\) production at midrapidity in pp collisions at \(\sqrt{s}\) = 8 !TeV|pp|[[http://arxiv.org/abs/1910.14410v2][1910.14410]]|[[https://inspirehep.net/literature/1762364][1762364]]|%GREEN%[[https://doi.org/10.1103/PhysRevC.102.024912][Phys. Rev. C 102]]%ENDCOLOR%|74|
|CF|Probing the effects of strong electromagnetic fields with charge-dependent directed flow in Pb-Pb collisions at the LHC|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/1910.14406v2][1910.14406]]|[[https://inspirehep.net/literature/1762367][1762367]]|%GREEN%[[https://doi.org/10.1103/PhysRevLett.125.022301][Phys. Rev. Lett. 125]]%ENDCOLOR%|73|
|JE|Jet-hadron correlations measured relative to the second order event plane in Pb-Pb collisions at \(\sqrt{s_{\rm{NN}}}\) = 2.76 !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/1910.14398v2][1910.14398]]|[[https://inspirehep.net/literature/1762358][1762358]]|%GREEN%[[https://doi.org/10.1103/PhysRevC.101.064901][Phys. Rev. C 101]]%ENDCOLOR%|72|
|LF|Multiplicity dependence of K*(892)\(^{0}\) and \(\phi\)(1020) production in pp collisions at \(\sqrt{s}\) = 13 !TeV|pp|[[http://arxiv.org/abs/1910.14397v1][1910.14397]]|[[https://inspirehep.net/literature/1762348][1762348]]|%GREEN%[[https://doi.org/10.1016/j.physletb.2020.135501][Phys. Lett. B 807]]%ENDCOLOR%|71|
|CF|Global baryon number conservation encoded in net-proton fluctuations measured in Pb-Pb collisions at \(\sqrt{s_{\rm NN}}\) = 2.76 !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/1910.14396v2][1910.14396]]|[[https://inspirehep.net/literature/1762338][1762338]]|%GREEN%[[https://doi.org/10.1016/j.physletb.2020.135564][Phys. Lett. B 807]]%ENDCOLOR%|70|
|CF|Longitudinal and azimuthal evolution of two-particle transverse momentum correlations in Pb-Pb collisions at \(\sqrt{s_{\rm{NN}}}\) = 2.76 !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/1910.14393v2][1910.14393]]|[[https://inspirehep.net/literature/1762340][1762340]]|%GREEN%[[https://doi.org/10.1016/j.physletb.2020.135375][Phys. Lett. B 804]]%ENDCOLOR%|69|
|JE|Measurements of inclusive jet spectra in pp and central Pb-Pb collisions at \(\sqrt{s_{\rm{NN}}}\) = 5.02 !TeV|pp,%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/1909.09718v2][1909.09718]]|[[https://inspirehep.net/literature/1755387][1755387]]|%GREEN%[[https://doi.org/10.1103/PhysRevC.101.034911][Phys. Rev. C 101]]%ENDCOLOR%|68|
|CF|Global polarization of \(\Lambda\) and \(\overline\Lambda\) hyperons in Pb-Pb collisions at the LHC|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/1909.01281v3][1909.01281]]|[[https://inspirehep.net/literature/1752507][1752507]]|%GREEN%[[https://doi.org/10.1103/PhysRevC.101.044611][Phys. Rev. C 101]]%ENDCOLOR%|67|
|JE|Exploration of jet substructure using iterative declustering in pp and Pb-Pb collisions at LHC energies|pp,%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/1905.02512v2][1905.02512]]|[[https://inspirehep.net/literature/1733684][1733684]]|%GREEN%[[https://doi.org/10.1016/j.physletb.2020.135227][Phys. Lett. B 802]]%ENDCOLOR%|66|
|HF|Measurement of the production of charm jets tagged with D\(^{0}\) mesons in pp collisions at \(\sqrt{s}\)= 7 !TeV|pp|[[http://arxiv.org/abs/1905.02510v2][1905.02510]]|[[https://inspirehep.net/literature/1733683][1733683]]|%GREEN%[[https://doi.org/10.1007/JHEP08(2019)133][JHEP 08]]%ENDCOLOR%|65|
|JE|Measurement of jet radial profiles in Pb\(-\)Pb collisions at \(\sqrt{s_{\rm NN}}\) = 2.76 !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/1904.13118v2][1904.13118]]|[[https://inspirehep.net/literature/1732232][1732232]]|%GREEN%[[https://doi.org/10.1016/j.physletb.2019.07.020][Phys. Lett. B 796]]%ENDCOLOR%|64|
