%TABLE{columnwidths="4%,55%,6%,6%,10%,9%,10%"}%
|*N*||*Group*|*Title*|*arXiv*|*Inspire*|*Journal*|*System*|
|511||CF|First measurement of symmetric cumulants of hexagonal flow harmonics in Pb$-$Pb collisions at $\sqrt{s_{\rm NN}}$ = 5.02 TeV|[[https://arxiv.org/abs/2412.15873][2412.15873]]|n/a|Phys. Rev. C 112 (2025) 2, 024905|PbPb|
|510||EM|Direct-photon production in inelastic and high-multiplicity proton-proton collisions at $\sqrt{s} =$ 13 TeV|[[https://arxiv.org/abs/2411.14366][2411.14366]]|n/a|Phys. Lett. B 868 (2025) 139645|pp|
|509||HF|Studying charm hadronisation into baryons with azimuthal correlations of $Λ_{\rm c}^{+}$ with charged particles in pp collisions at $\mathbf{\sqrt{\it s} = 13}$ TeV|[[https://arxiv.org/abs/2411.10104][2411.10104]]|n/a|Phys. Lett. B 868 (2025) 139681|pp|
|508||EM|Light neutral-meson production in pp collisions at $\mathbf{\sqrt{s}}$ = 13 TeV|[[https://arxiv.org/abs/2411.09560][2411.09560]]|n/a|JHEP 08 (2025) 035|pp|
|507||EM|Measurement of $ω$ meson production in pp collisions at $\sqrt{s}$ = 13 TeV|[[https://arxiv.org/abs/2411.09432][2411.09432]]|n/a|JHEP 04 (2025) 067|pp|
|506||CF|System size and energy dependence of the mean transverse momentum fluctuations at the LHC|[[https://arxiv.org/abs/2411.09334][2411.09334]]|n/a|Eur. Phys. J. C 85 (2025) 776|pp,PbPb,XeXe|
|505||CF|Observation of partonic flow in proton-proton and proton-nucleus collisions|[[https://arxiv.org/abs/2411.09323][2411.09323]]|n/a|n/a|pp,pPb|
|504||JE|Medium-induced modification of groomed and ungroomed jet mass and angularities in Pb-Pb collisions at $\sqrt{s_{\rm NN}} = 5.02$ TeV|[[https://arxiv.org/abs/2411.03106][2411.03106]]|n/a|Phys. Lett. B 864 (2025) 139409|PbPb|
|503||UD|Multimuons in cosmic-ray events as seen in ALICE at the LHC|[[https://arxiv.org/abs/2410.17771][2410.17771]]|n/a|JCAP 04 (2025) 009|c.r.|
|502||LF|First measurement of A = 4 (anti)hypernuclei at the LHC|[[https://arxiv.org/abs/2410.17769][2410.17769]]|n/a|Phys. Rev. Lett. 134 (2025) 162301|PbPb|
|501||JE|Search for quasi-particle scattering in the quark-gluon plasma with jet splittings in pp and Pb$-$Pb collisions at $\mathbf{\sqrt{\textit{s}_{\rm NN}} = 5.02}$ TeV|[[https://arxiv.org/abs/2409.12837][2409.12837]]|n/a|Phys. Rev. Lett. 135, 031901 (2025)|pp,PbPb|
|500||LF|First observation of strange baryon enhancement with effective energy in pp collisions at the LHC|[[https://arxiv.org/abs/2409.12702][2409.12702]]|n/a|JHEP 03 (2025) 029|pp|
|499||JE|Exposing the parton-hadron transition within jets with energy-energy correlators in pp collisions at $\sqrt{\textit s}=5.02$ TeV|[[https://arxiv.org/abs/2409.12687][2409.12687]]|n/a|n/a|pp|
|498||JE|Measurement of the inclusive isolated-photon production cross section in pp and Pb$-$Pb collisions at $\sqrt{s_{\rm NN}}=5.02$ TeV|[[https://arxiv.org/abs/2409.12641][2409.12641]]|n/a|Eur. Phys. J. C (2025) 85:553|pp,PbPb|
|497||EM|Addendum: Dielectron production in proton-proton and proton-lead collisions at $\sqrt{s_{\rm NN}}$ = 5.02 TeV|[[https://arxiv.org/abs/2409.12025][2409.12025]]|n/a|n/a|pp,pPb|
|496||DQ|Coherent J/$ψ$ photoproduction at midrapidity in Pb-Pb collisions at $\sqrt{s_{\rm NN}} = 5.02$ TeV|[[https://arxiv.org/abs/2409.11940][2409.11940]]|n/a|Phys. Lett. B 871 (2025) 139952|PbPb|
|495||HF|Investigating charm quark energy loss in medium with the nuclear modification factor of D$^0$-tagged jets|[[https://arxiv.org/abs/2409.11939][2409.11939]]|n/a|n/a|PbPb|
|494||HF|First measurement of $\mathrm{D_{s1}}(1^{+})(2536)^+$ and $\mathrm{D_{s2}^{*}(2^{+})(2573)^+}$ production in proton-proton collisions at $\sqrt{s} = 13$ TeV at the LHC|[[https://arxiv.org/abs/2409.11938][2409.11938]]|n/a|Phys. Rev. D 111, 112005 (2025)|pp|
|493||LF|Measurement of f$_{1}$(1285) production in pp collisions at $\mathbf{\sqrt{\textit s}}$ = 13 TeV|[[https://arxiv.org/abs/2409.11936][2409.11936]]|n/a|Phys. Lett. B 866 (2025) 139562|pp|
|492||DQ|J/$ψ$-hadron correlations at midrapidity in pp collisions at $\mathbf{\sqrt{\it s}}$ = 13 TeV|[[https://arxiv.org/abs/2409.04364][2409.04364]]|n/a|JHEP 07 (2025) 023|pp|
|491||CF|Multiplicity-dependent jet modification from di-hadron correlations in pp collisions at $\sqrt{s} = 13$ TeV|[[https://arxiv.org/abs/2409.04501][2409.04501]]|n/a|JHEP 03 (2025) 194|pp|
|490||CF|Exploring nuclear structure with multiparticle azimuthal correlations at the LHC|[[https://arxiv.org/abs/2409.04343][2409.04343]]|n/a|Phys. Lett. B 869 (2025) 139855|PbPb,XeXe|
|489||CF|Higher-order symmetry plane correlations in Pb$-$Pb collisions at $\sqrt{{\it s}_{\mathrm{NN}}}$ = 5.02 TeV|[[https://arxiv.org/abs/2409.04238][2409.04238]]|n/a|Phys. Rev. C 111, 064913 (2025)|PbPb|
|488||MM|Particle production as a function of charged-particle flattenicity in pp collisions at $\sqrt{s}$ = 13 TeV|[[https://arxiv.org/abs/2407.20037][2407.20037]]|n/a|Phys. Rev. D 111 (2025) 012010|pp|
|487||HF|Measurement of beauty production via non-prompt charm hadrons in p-Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV|[[https://arxiv.org/abs/2407.10593][2407.10593]]|n/a|JHEP 11 (2024) 148|pPb|
|486||LF|Rapidity dependence of antideuteron coalescence in pp collisions at $\sqrt{s}$ = 13 TeV with ALICE|[[https://arxiv.org/abs/2407.10527][2407.10527]]|n/a|Phys. Lett. B 860 (2025) 139191|pp|
|485||JE|Measurement of the inclusive isolated-photon production cross section in pp collisions at $\sqrt{s}$ = 13 TeV|[[https://arxiv.org/abs/2407.01165][2407.01165]]|n/a|Eur. Phys. J. C 85 (2025) 98|pp|
|484||CF|Probing strangeness hadronization with event-by-event production of multistrange hadrons|[[https://arxiv.org/abs/2405.19890][2405.19890]]|n/a|Phys. Rev. Lett. 134 (2025) 022303|pp,pPb,PbPb|
|483||CF|Investigating $Λ$ baryon production in p-Pb collisions in jets and the underlying event using angular correlations|[[https://arxiv.org/abs/2405.19855][2405.19855]]|n/a|Phys. Rev. C 111 (2025) 015201|pPb|
|482||LF|Measurement of ${}_Λ^{3}\mathrm{H}$ production in Pb-Pb collisions at $\sqrt{s_{\mathrm{NN}}}$ = 5.02 TeV|[[https://arxiv.org/abs/2405.19839][2405.19839]]|n/a|Phys. Lett. B 860 (2025) 139066|PbPb|
|481||CF|Measurement of the production and elliptic flow of (anti)nuclei in Xe-Xe collisions at $\sqrt{s_{\rm NN}}$ = 5.44 TeV|[[https://arxiv.org/abs/2405.19826][2405.19826]]|n/a|Phys. Rev. C 110 (2024) 064901|XeXe|
|480||HF|Charm fragmentation fractions and ${\rm c\overline{c}}$ cross section in p$-$Pb collisions at $\sqrt{s_{\rm NN}}=5.02$ TeV|[[https://arxiv.org/abs/2405.14571][2405.14571]]|n/a|Eur. Phys. J. C 84 (2024) 1286|pPb|
|479||HF|Measurement of the production cross section of prompt $Ξ^0_{\rm c}$ baryons in p$-$Pb collisions at $\sqrt{s_{\mathrm{NN}}}~=~5.02$ TeV|[[https://arxiv.org/abs/2405.14538][2405.14538]]|n/a|Eur. Phys. J. C 85 (2025) 86|pPb|
|478||UD|Measurement of the impact-parameter dependent azimuthal anisotropy in coherent $ρ^0$ photoproduction in Pb$-$Pb collisions at $\sqrt{s_{\rm NN}}$ = 5.02 TeV|[[https://arxiv.org/abs/2405.14525][2405.14525]]|n/a|Phys. Lett. B 858 (2024) 139017|PbPb|
|477||LF|Investigating strangeness enhancement with multiplicity in pp collisions using angular correlations|[[https://arxiv.org/abs/2405.14511][2405.14511]]|n/a|JHEP 09 (2024) 204|pp|
|476||LF|Investigating strangeness enhancement in jet and medium via $φ$(1020) production in p$-$Pb collisions at $\sqrt{s_{\rm NN}}$ = 5.02 TeV|[[https://arxiv.org/abs/2405.14491][2405.14491]]|n/a|Phys. Rev. C 110 (2024) 064912|pPb|
|475||HF|Measurement of $Ω^0_{\rm c}$ baryon production and branching-fraction ratio ${\rm BR(Ω^0_c \rightarrow Ω^- e^+ν_e)} / {\rm BR(Ω^0_c \rightarrow Ω^- π^+)}$ in pp collisions at $\sqrt{s}$ = 13 TeV|[[https://arxiv.org/abs/2404.17272][2404.17272]]|n/a|Phys. Rev. D 110 (2024) 032014|pp|
|474||UD|Exclusive four pion photoproduction in ultraperipheral Pb-Pb collisions at $\sqrt{s_{\rm NN}} = 5.02$ TeV|[[https://arxiv.org/abs/2404.07542][2404.07542]]|n/a|Phys. Lett. B. 872 (2025) 140006|PbPb|
|473||CF|Systematic study of flow vector fluctuations in $\mathbf{\sqrt{\textit{s}_{_{\bf NN}}}=5.02}$ TeV Pb-Pb collisions|[[https://arxiv.org/abs/2403.15213][2403.15213]]|n/a|Phys. Rev. C 109 (2024) 065202|PbPb|
|472||HF|Measurement of beauty-quark production in pp collisions at $\sqrt{s}=13$ TeV via non-prompt D mesons|[[https://arxiv.org/abs/2402.16417][2402.16417]]|n/a|JHEP 10 (2024) 110|pp|
|471||CF|Studying the interaction between charm and light-flavor mesons|[[https://arxiv.org/abs/2401.13541][2401.13541]]|n/a|Phys. Rev. D 110 (2024) 032004|pp|
|470||CF|Investigating the composition of the K$^*_0(700)$ state with $π^\pm$K$^0_{\rm S}$ correlations at the LHC|[[https://arxiv.org/abs/2312.12830][2312.12830]]|n/a|Phys. Lett. B 856 (2024) 138915|pp|
|469||CF|Common femtoscopic hadron-emission source in pp collisions at the LHC|[[https://arxiv.org/abs/2311.14527][2311.14527]]|n/a|Eur. Phys. J. C 85, 198 (2025); Eur. Phys. J. C 86, 12 (2026)|pp|
|468||CF|Emergence of long-range angular correlations in low-multiplicity proton-proton collisions|[[https://arxiv.org/abs/2311.14357][2311.14357]]|n/a|Phys. Rev. Lett. 132 (2024) 172302|pp|
|467||LF|Measurements of chemical potentials in Pb-Pb collisions at $\sqrt{s_{\rm NN}} = 5.02$ TeV|[[https://arxiv.org/abs/2311.13332][2311.13332]]|n/a|Phys. Rev. Lett. 133 (2024) 092301|PbPb|
|466||JE|Multiplicity dependence of charged-particle intra-jet properties in pp collisions at $\sqrt{s}$ = 13 TeV|[[https://arxiv.org/abs/2311.13322][2311.13322]]|n/a|Eur. Phys. J. C 84 (2024) 1079|pp|
|465||UD|Photoproduction of K$^{+}$K$^{-}$ pairs in ultra-peripheral collisions|[[https://arxiv.org/abs/2311.11792][2311.11792]]|n/a|Phys. Rev. Lett. 132 (2024) 222303|PbPb|
|464||LF|Observation of abnormal suppression of $\mathrm{f}_{0}$(980) production in p$-$Pb collisions at $\sqrt{s_{\rm NN}}$ = 5.02 TeV|[[https://arxiv.org/abs/2311.11786][2311.11786]]|n/a|Phys. Lett. B 853 (2024) 138665|pPb|
|463||LF|Measurement of (anti)alpha production in central Pb-Pb collisions at $\sqrt{s_{\rm NN}}$ = 5.02 TeV|[[https://arxiv.org/abs/2311.11758][2311.11758]]|n/a|Phys. Lett. B 858 (2024) 138943|PbPb|
|462||LF|Light-flavor particle production in high-multiplicity pp collisions at $\mathbf{\sqrt{\textit{s}} = 13}$ TeV as a function of transverse spherocity|[[https://arxiv.org/abs/2310.10236][2310.10236]]|n/a|JHEP 05 (2024) 184|pp|
|461||CF|Femtoscopic correlations of identical charged pions and kaons in pp collisions at $\sqrt{s}=13$ TeV with event-shape selection|[[https://arxiv.org/abs/2310.07509][2310.07509]]|n/a|Phys. Rev. C 109, 024915 (2024)|pp|
|460||MM|Charged-particle production as a function of the relative transverse activity classifier in pp, p$-$Pb, and Pb$-$Pb collisions at the LHC|[[https://arxiv.org/abs/2310.07490][2310.07490]]|n/a|JHEP 01 (2024) 056|pp,pPb,PbPb|
|459||CF|Studying strangeness and baryon production mechanisms through angular correlations between charged $Ξ$ baryons and identified hadrons in pp collisions at $\sqrt{s}$ = 13 TeV|[[https://arxiv.org/abs/2308.16706][2308.16706]]|n/a|JHEP 09 (2024) 102|pp|
|458||EM|Dielectron production in central Pb$-$Pb collisions at $\sqrt{s_\mathrm{NN}}$ = 5.02 TeV|[[https://arxiv.org/abs/2308.16704][2308.16704]]|n/a|Phys. Rev. C 112 (2025) 054906|PbPb|
